epoch,batch,loss,val_loss
1,0,2194.047363,
1,50,603.820618,
1,100,399.821045,
1,150,331.182678,
1,200,293.320099,
1,250,269.503448,
1,300,255.757034,
1,350,244.212311,
1,400,234.538330,
1,450,226.995575,
1,500,221.632126,
1,550,216.174149,
1,600,212.851913,
1,650,209.201355,
1,700,206.888641,
1,750,204.063614,
1,800,201.690063,
1,850,199.590210,
1,900,197.477997,
1,950,195.901917,
1,1000,194.319901,
1,1050,192.643570,
1,1100,191.176270,
1,1150,189.905060,
1,1200,188.895065,
1,1250,187.658279,
1,1300,186.576614,
1,1350,185.931854,
1,1400,185.230087,
1,1450,184.024200,
1,1500,182.989807,
1,1550,182.198654,
1,1600,181.020126,
1,1650,180.321716,
1,1700,179.688751,
1,end,179.507263,159.442673
2,0,99.530075,
2,50,165.081314,
2,100,158.001144,
2,150,156.905273,
2,200,155.594528,
2,250,153.847855,
2,300,153.516815,
2,350,154.194504,
2,400,153.160629,
2,450,153.974747,
2,500,152.193497,
2,550,152.804855,
2,600,153.212753,
2,650,153.622971,
2,700,153.071518,
2,750,153.638397,
2,800,153.263794,
2,850,152.846832,
2,900,153.304581,
2,950,153.268158,
2,1000,152.770569,
2,1050,152.604568,
2,1100,152.196793,
2,1150,151.222702,
2,1200,150.928192,
2,1250,151.334213,
2,1300,151.216949,
2,1350,151.325958,
2,1400,150.702896,
2,1450,150.862152,
2,1500,150.908936,
2,1550,150.582596,
2,1600,150.545990,
2,1650,150.140915,
2,1700,149.978394,
2,end,149.883682,149.327530
3,0,161.376465,
3,50,142.030334,
3,100,149.498505,
3,150,152.736542,
3,200,150.845444,
3,250,146.637177,
3,300,145.430573,
3,350,144.853149,
3,400,144.330246,
3,450,143.737823,
3,500,143.374451,
3,550,143.805817,
3,600,143.932159,
3,650,143.283005,
3,700,144.317429,
3,750,143.530624,
3,800,143.261581,
3,850,142.436890,
3,900,142.577621,
3,950,142.659271,
3,1000,142.498123,
3,1050,142.809158,
3,1100,143.200455,
3,1150,143.172684,
3,1200,143.057159,
3,1250,143.094147,
3,1300,142.815048,
3,1350,142.270889,
3,1400,141.808151,
3,1450,141.798828,
3,1500,141.675949,
3,1550,141.702530,
3,1600,141.678589,
3,1650,141.538635,
3,1700,141.171341,
3,end,141.173492,149.324799
4,0,195.477798,
4,50,126.970634,
4,100,129.160263,
4,150,138.056503,
4,200,136.831726,
4,250,134.366501,
4,300,135.727509,
4,350,133.903107,
4,400,134.568619,
4,450,133.442963,
4,500,134.546448,
4,550,135.627853,
4,600,136.693817,
4,650,136.322372,
4,700,137.135956,
4,750,137.737579,
4,800,138.089569,
4,850,137.658768,
4,900,137.883804,
4,950,137.569061,
4,1000,137.738892,
4,1050,137.456421,
4,1100,137.240387,
4,1150,137.136871,
4,1200,136.719162,
4,1250,136.625031,
4,1300,136.549088,
4,1350,136.289047,
4,1400,136.346115,
4,1450,136.302826,
4,1500,136.513626,
4,1550,136.400558,
4,1600,136.115173,
4,1650,135.535889,
4,1700,135.535095,
4,end,135.366653,136.643478
5,0,143.188019,
5,50,133.428406,
5,100,127.730972,
5,150,126.531906,
5,200,127.192558,
5,250,130.830673,
5,300,130.817520,
5,350,130.665680,
5,400,132.281677,
5,450,131.750916,
5,500,131.525848,
5,550,131.516266,
5,600,131.534424,
5,650,131.869492,
5,700,132.129669,
5,750,131.270203,
5,800,131.281830,
5,850,131.818619,
5,900,132.482681,
5,950,132.361786,
5,1000,131.957520,
5,1050,132.344574,
5,1100,131.866699,
5,1150,131.647659,
5,1200,131.651764,
5,1250,131.213348,
5,1300,131.798630,
5,1350,132.072388,
5,1400,131.655289,
5,1450,131.076675,
5,1500,130.732498,
5,1550,130.469742,
5,1600,130.336090,
5,1650,130.565491,
5,1700,130.167496,
5,end,130.219803,141.909576
6,0,110.898109,
6,50,121.642647,
6,100,126.223038,
6,150,120.932831,
6,200,121.821259,
6,250,122.857445,
6,300,124.100639,
6,350,125.276451,
6,400,123.564285,
6,450,123.578705,
6,500,123.602798,
6,550,124.005432,
6,600,125.131859,
6,650,124.485802,
6,700,123.720963,
6,750,123.450417,
6,800,123.795975,
6,850,123.729836,
6,900,123.769531,
6,950,123.828049,
6,1000,124.460403,
6,1050,124.923119,
6,1100,124.786835,
6,1150,124.925819,
6,1200,125.131905,
6,1250,124.679832,
6,1300,125.024223,
6,1350,125.098473,
6,1400,125.244545,
6,1450,125.311409,
6,1500,125.465714,
6,1550,125.519196,
6,1600,125.351448,
6,1650,125.421799,
6,1700,125.423332,
6,end,125.429916,135.347168
7,0,111.797485,
7,50,123.088745,
7,100,117.813675,
7,150,126.207512,
7,200,122.975983,
7,250,124.646736,
7,300,122.387459,
7,350,121.841393,
7,400,122.705215,
7,450,122.656853,
7,500,122.421059,
7,550,122.140808,
7,600,121.644493,
7,650,121.206833,
7,700,121.197334,
7,750,121.790558,
7,800,121.984657,
7,850,122.548798,
7,900,122.864937,
7,950,123.054482,
7,1000,123.076401,
7,1050,122.783791,
7,1100,122.776108,
7,1150,122.668167,
7,1200,122.440880,
7,1250,122.075974,
7,1300,121.781403,
7,1350,121.682266,
7,1400,121.475677,
7,1450,121.497650,
7,1500,121.446404,
7,1550,121.295197,
7,1600,121.190247,
7,1650,121.199097,
7,1700,120.956757,
7,end,120.873322,125.809525
8,0,81.470390,
8,50,116.591103,
8,100,116.044609,
8,150,118.584450,
8,200,117.563049,
8,250,118.702484,
8,300,118.601547,
8,350,117.622818,
8,400,117.087471,
8,450,115.458107,
8,500,115.283089,
8,550,115.317795,
8,600,115.641716,
8,650,115.913834,
8,700,115.590813,
8,750,115.610023,
8,800,115.897751,
8,850,116.447128,
8,900,116.115379,
8,950,116.289330,
8,1000,116.743149,
8,1050,116.796585,
8,1100,116.414604,
8,1150,116.059769,
8,1200,115.587959,
8,1250,115.648384,
8,1300,115.919487,
8,1350,116.342613,
8,1400,115.983490,
8,1450,115.852074,
8,1500,115.766052,
8,1550,115.631020,
8,1600,115.946846,
8,1650,115.848885,
8,1700,116.099007,
8,end,116.170326,125.719460
9,0,106.182045,
9,50,111.004829,
9,100,113.667969,
9,150,110.710152,
9,200,109.778465,
9,250,109.073250,
9,300,109.398178,
9,350,109.924255,
9,400,109.546379,
9,450,110.090469,
9,500,110.085304,
9,550,109.432182,
9,600,109.117798,
9,650,109.802315,
9,700,109.797768,
9,750,109.950195,
9,800,110.067703,
9,850,110.186829,
9,900,110.458557,
9,950,110.698090,
9,1000,110.445168,
9,1050,110.330574,
9,1100,110.680397,
9,1150,110.711441,
9,1200,110.831230,
9,1250,110.854080,
9,1300,110.808899,
9,1350,111.097343,
9,1400,111.213661,
9,1450,111.340744,
9,1500,111.227135,
9,1550,111.534370,
9,1600,111.685463,
9,1650,112.145119,
9,1700,112.178978,
9,end,112.132172,123.970665
10,0,165.102905,
10,50,98.800507,
10,100,101.404846,
10,150,103.617027,
10,200,105.404053,
10,250,104.421295,
10,300,104.904091,
10,350,105.243889,
10,400,105.685051,
10,450,105.124062,
10,500,106.334656,
10,550,106.041245,
10,600,106.733719,
10,650,107.389320,
10,700,108.407616,
10,750,108.329903,
10,800,107.852058,
10,850,107.909462,
10,900,108.586037,
10,950,108.203430,
10,1000,108.566109,
10,1050,108.979095,
10,1100,108.807747,
10,1150,108.576157,
10,1200,108.554153,
10,1250,108.480354,
10,1300,108.141632,
10,1350,108.150406,
10,1400,108.386497,
10,1450,108.410866,
10,1500,108.349113,
10,1550,108.325378,
10,1600,108.227692,
