epoch,batch,loss,val_loss
1,0,26.042389,
1,end,26.042389,6.752890
2,0,6194.484375,
2,end,6194.484375,6.622653
3,0,8941.763672,
3,end,8941.763672,6.555865
4,0,451.943634,
4,end,451.943634,6.480115
5,0,5.828457,
5,end,5.828457,6.492090
6,0,11.386642,
6,end,11.386642,6.536566
7,0,15.396932,
7,end,15.396932,6.506909
8,0,15.281288,
8,end,15.281288,6.441101
9,0,13.952946,
9,end,13.952946,6.239922
10,0,12.515394,
10,end,12.515394,5.963555
11,0,11.012026,
11,end,11.012026,5.743259
12,0,9.603967,
12,end,9.603967,5.594788
13,0,8.476923,
13,end,8.476923,5.527244
14,0,7.561255,
14,end,7.561255,5.513397
15,0,6.765127,
15,end,6.765127,5.525812
16,0,6.085113,
16,end,6.085113,5.532581
17,0,5.465480,
17,end,5.465480,5.533199
18,0,4.914495,
18,end,4.914495,5.557748
19,0,4.437932,
19,end,4.437932,5.633178
20,0,4.023167,
20,end,4.023167,5.771449
21,0,3.674391,
21,end,3.674391,5.983144
22,0,3.387716,
22,end,3.387716,5.949951
23,0,3.151352,
23,end,3.151352,5.834694
24,0,2.957217,
24,end,2.957217,5.619584
25,0,2.673833,
25,end,2.673833,5.601554
26,0,2.358053,
26,end,2.358053,6.105313
27,0,2.012457,
27,end,2.012457,7.292025
28,0,1.748312,
28,end,1.748312,8.987755
29,0,1.251400,
29,end,1.251400,10.952406
30,0,0.937586,
30,end,0.937586,13.040042
31,0,1.300660,
31,end,1.300660,14.974331
32,0,1.235288,
32,end,1.235288,16.832224
33,0,1.029063,
33,end,1.029063,18.087234
34,0,1.106072,
34,end,1.106072,18.726025
35,0,1.171947,
35,end,1.171947,19.015512
36,0,1.145809,
36,end,1.145809,19.022470
37,0,1.191711,
37,end,1.191711,18.642033
38,0,1.188374,
38,end,1.188374,18.099941
39,0,1.047484,
39,end,1.047484,17.358044
40,0,1.002501,
40,end,1.002501,16.452265
41,0,0.934883,
41,end,0.934883,15.562099
42,0,1.163874,
42,end,1.163874,14.744477
43,0,1.144778,
43,end,1.144778,13.981380
44,0,0.871138,
44,end,0.871138,13.280782
45,0,1.143685,
45,end,1.143685,12.616060
46,0,1.242020,
46,end,1.242020,12.021770
47,0,1.043744,
47,end,1.043744,11.501325
48,0,0.431894,
48,end,0.431894,11.047545
49,0,1.166459,
49,end,1.166459,10.631704
50,0,1.547305,
50,end,1.547305,10.238705
51,0,1.671457,
51,end,1.671457,9.890125
52,0,1.665424,
52,end,1.665424,9.576925
53,0,1.565476,
53,end,1.565476,9.281456
54,0,1.359417,
54,end,1.359417,9.010670
55,0,0.960347,
55,end,0.960347,8.747633
56,0,0.792599,
56,end,0.792599,8.508274
57,0,1.296263,
57,end,1.296263,8.286629
58,0,1.464284,
58,end,1.464284,8.080010
59,0,1.423541,
59,end,1.423541,7.894675
60,0,1.191192,
60,end,1.191192,7.727061
61,0,0.712153,
61,end,0.712153,7.573166
62,0,0.942467,
62,end,0.942467,7.425992
63,0,1.164855,
63,end,1.164855,7.284896
64,0,1.063616,
64,end,1.063616,7.145332
65,0,0.668867,
65,end,0.668867,7.002513
66,0,0.697140,
66,end,0.697140,6.877692
67,0,0.937561,
67,end,0.937561,6.767881
68,0,0.776789,
68,end,0.776789,6.676829
69,0,0.457213,
69,end,0.457213,6.594505
70,0,0.712945,
70,end,0.712945,6.515872
71,0,0.740372,
71,end,0.740372,6.443564
72,0,0.449778,
72,end,0.449778,6.381454
73,0,0.738015,
73,end,0.738015,6.320645
74,0,0.935891,
74,end,0.935891,6.268477
75,0,0.758447,
75,end,0.758447,6.221624
76,0,0.293435,
76,end,0.293435,6.176139
77,0,0.699992,
77,end,0.699992,6.127523
78,0,0.718578,
78,end,0.718578,6.079902
79,0,0.362820,
79,end,0.362820,6.032296
80,0,0.772924,
80,end,0.772924,5.990639
81,0,1.042674,
81,end,1.042674,5.954516
82,0,1.017472,
82,end,1.017472,5.921656
83,0,0.724515,
83,end,0.724515,5.892134
84,0,0.442934,
84,end,0.442934,5.859329
85,0,0.894289,
85,end,0.894289,5.825531
86,0,1.058164,
86,end,1.058164,5.790974
87,0,1.009284,
87,end,1.009284,5.755376
88,0,0.728463,
88,end,0.728463,5.714119
89,0,0.189129,
89,end,0.189129,5.677850
90,0,0.246816,
90,end,0.246816,5.645460
91,0,0.511676,
91,end,0.511676,5.609937
92,0,0.513463,
92,end,0.513463,5.575516
93,0,0.367902,
93,end,0.367902,5.544724
94,0,0.316289,
94,end,0.316289,5.523795
95,0,0.532558,
95,end,0.532558,5.501799
96,0,0.576856,
96,end,0.576856,5.477496
97,0,0.270625,
97,end,0.270625,5.448334
98,0,0.729580,
98,end,0.729580,5.421915
99,0,0.970428,
99,end,0.970428,5.400655
100,0,0.964103,
100,end,0.964103,5.381458
101,0,0.741824,
101,end,0.741824,5.366408
102,0,0.468315,
102,end,0.468315,5.349510
103,0,0.810798,
103,end,0.810798,5.331361
104,0,0.896824,
104,end,0.896824,5.306701
105,0,0.811655,
105,end,0.811655,5.276828
106,0,0.541608,
106,end,0.541608,5.242007
107,0,0.676790,
107,end,0.676790,5.211109
108,0,0.879609,
108,end,0.879609,5.182467
109,0,0.779846,
109,end,0.779846,5.157720
110,0,0.413939,
110,end,0.413939,5.137260
111,0,0.646645,
111,end,0.646645,5.116488
112,0,0.885714,
112,end,0.885714,5.094045
113,0,0.865062,
113,end,0.865062,5.072117
114,0,0.615794,
114,end,0.615794,5.051217
115,0,0.282939,
115,end,0.282939,5.029027
116,0,0.716194,
116,end,0.716194,5.010090
117,0,0.770526,
117,end,0.770526,4.994390
118,0,0.564186,
118,end,0.564186,4.982817
119,0,0.399854,
119,end,0.399854,4.969022
120,0,0.510648,
120,end,0.510648,4.952986
121,0,0.175796,
121,end,0.175796,4.936364
122,0,0.822082,
122,end,0.822082,4.921532
123,0,1.087753,
123,end,1.087753,4.908660
124,0,1.097085,
124,end,1.097085,4.898469
125,0,0.899782,
125,end,0.899782,4.888101
126,0,0.408128,
126,end,0.408128,4.880557
127,0,0.769913,
127,end,0.769913,4.869016
128,0,1.119402,
128,end,1.119402,4.856941
129,0,1.266180,
129,end,1.266180,4.843800
130,0,1.285731,
130,end,1.285731,4.829928
131,0,1.207638,
131,end,1.207638,4.815713
132,0,1.011005,
132,end,1.011005,4.800052
133,0,0.620023,
133,end,0.620023,4.783683
134,0,0.524592,
134,end,0.524592,4.771889
135,0,0.550006,
135,end,0.550006,4.760399
136,0,0.352566,
136,end,0.352566,4.750850
137,0,0.622098,
137,end,0.622098,4.738822
138,0,0.812040,
138,end,0.812040,4.725280
139,0,0.733512,
139,end,0.733512,4.710613
140,0,0.342358,
140,end,0.342358,4.693959
141,0,0.662089,
141,end,0.662089,4.679233
142,0,0.937688,
142,end,0.937688,4.669173
143,0,0.952414,
143,end,0.952414,4.660721
144,0,0.764206,
144,end,0.764206,4.654885
145,0,0.339196,
145,end,0.339196,4.646456
146,0,0.551752,
146,end,0.551752,4.636456
147,0,0.571658,
147,end,0.571658,4.624725
148,0,0.421591,
148,end,0.421591,4.611526
149,0,0.511775,
149,end,0.511775,4.600011
150,0,0.603005,
150,end,0.603005,4.591478
151,0,0.372662,
151,end,0.372662,4.586693
152,0,0.442504,
152,end,0.442504,4.580562
153,0,0.554289,
153,end,0.554289,4.573549
154,0,0.335744,
154,end,0.335744,4.568086
155,0,0.445519,
155,end,0.445519,4.564290
156,0,0.559138,
156,end,0.559138,4.562432
157,0,0.318439,
157,end,0.318439,4.557159
158,0,0.461031,
158,end,0.461031,4.549923
159,0,0.597271,
159,end,0.597271,4.543336
160,0,0.453774,
160,end,0.453774,4.532373
161,0,0.280670,
161,end,0.280670,4.522273
162,0,0.313646,
162,end,0.313646,4.511066
163,0,0.271893,
163,end,0.271893,4.504642
164,0,0.272464,
164,end,0.272464,4.495954
165,0,0.176094,
165,end,0.176094,4.486110
166,0,0.232476,
166,end,0.232476,4.481746
167,0,0.390301,
167,end,0.390301,4.479051
168,0,0.436503,
168,end,0.436503,4.476645
169,0,0.320997,
169,end,0.320997,4.472733
170,0,0.165068,
170,end,0.165068,4.471291
171,0,0.250137,
171,end,0.250137,4.467364
172,0,0.357635,
172,end,0.357635,4.461289
173,0,0.409784,
173,end,0.409784,4.457509
174,0,0.325885,
174,end,0.325885,4.453019
175,0,0.143708,
175,end,0.143708,4.451697
176,0,0.416779,
176,end,0.416779,4.448788
177,0,0.416734,
177,end,0.416734,4.444676
178,0,0.483691,
178,end,0.483691,4.440570
179,0,0.454849,
179,end,0.454849,4.437551
180,0,0.193284,
180,end,0.193284,4.432381
181,0,0.204459,
181,end,0.204459,4.428969
182,0,0.656172,
182,end,0.656172,4.427152
183,0,0.770687,
183,end,0.770687,4.427529
184,0,0.643914,
184,end,0.643914,4.428697
185,0,0.329365,
185,end,0.329365,4.426004
186,0,0.540393,
186,end,0.540393,4.424671
187,0,0.507079,
187,end,0.507079,4.422396
188,0,0.305306,
188,end,0.305306,4.419595
189,0,0.651264,
189,end,0.651264,4.417135
190,0,0.817859,
190,end,0.817859,4.415591
191,0,0.716276,
191,end,0.716276,4.417434
192,0,0.407628,
192,end,0.407628,4.420888
193,0,0.556973,
193,end,0.556973,4.425282
194,0,0.770685,
194,end,0.770685,4.429075
195,0,0.737840,
195,end,0.737840,4.430463
196,0,0.534458,
196,end,0.534458,4.430456
197,0,0.273079,
197,end,0.273079,4.425676
198,0,0.633760,
198,end,0.633760,4.421692
199,0,0.748398,
199,end,0.748398,4.418358
200,0,0.632183,
200,end,0.632183,4.416133
201,0,0.215634,
201,end,0.215634,4.414840
202,0,0.773924,
202,end,0.773924,4.415851
203,0,1.029034,
203,end,1.029034,4.416523
204,0,1.146963,
204,end,1.146963,4.416234
205,0,1.131558,
205,end,1.131558,4.416600
206,0,0.996889,
206,end,0.996889,4.416557
207,0,0.697871,
207,end,0.697871,4.414754
208,0,0.216323,
208,end,0.216323,4.406461
209,0,0.723298,
209,end,0.723298,4.400978
210,0,0.936743,
210,end,0.936743,4.397640
211,0,0.918032,
211,end,0.918032,4.396063
212,0,0.690383,
212,end,0.690383,4.395976
213,0,0.254463,
213,end,0.254463,4.396450
214,0,0.255725,
214,end,0.255725,4.397173
215,0,0.333820,
215,end,0.333820,4.397823
216,0,0.366284,
216,end,0.366284,4.392871
217,0,0.416090,
217,end,0.416090,4.387864
218,0,0.342323,
218,end,0.342323,4.383721
219,0,0.225041,
219,end,0.225041,4.379302
220,0,0.275263,
220,end,0.275263,4.377252
221,0,0.350986,
221,end,0.350986,4.380899
222,0,0.497714,
