epoch,batch,loss,val_loss
1,0,9.212340,
1,50,8.513790,
1,100,7.858901,
1,150,7.465872,
1,200,7.176133,
1,250,7.007776,
1,300,6.846770,
1,350,6.694071,
1,400,6.535507,
1,450,6.395453,
1,500,6.272552,
1,550,6.134776,
1,600,6.009526,
1,650,5.912743,
1,700,5.821987,
1,750,5.746352,
1,800,5.674107,
1,850,5.620134,
1,900,5.563421,
1,950,5.511137,
1,1000,5.466779,
1,1050,5.412966,
1,1100,5.375005,
1,1150,5.339165,
1,1200,5.301929,
1,1250,5.267591,
1,1300,5.233970,
1,1350,5.204468,
1,1400,5.173950,
1,1450,5.139007,
1,1500,5.119891,
1,1550,5.095119,
1,1600,5.075896,
1,1650,5.051292,
1,1700,5.029336,
1,end,5.026260,4.338241
2,0,4.411681,
2,50,4.391426,
2,100,4.274007,
2,150,4.294016,
2,200,4.322105,
2,250,4.368491,
2,300,4.342799,
2,350,4.336447,
2,400,4.332646,
2,450,4.367437,
2,500,4.370575,
2,550,4.369182,
2,600,4.362231,
2,650,4.369279,
2,700,4.351954,
2,750,4.348167,
2,800,4.341894,
2,850,4.326021,
2,900,4.325350,
2,950,4.327499,
2,1000,4.315417,
2,1050,4.305058,
2,1100,4.296258,
2,1150,4.284988,
2,1200,4.284856,
2,1250,4.278251,
2,1300,4.271806,
2,1350,4.267865,
2,1400,4.259952,
2,1450,4.257131,
2,1500,4.256904,
2,1550,4.251685,
2,1600,4.251569,
2,1650,4.245979,
2,1700,4.237258,
2,end,4.237887,4.434168
3,0,4.848210,
3,50,4.088120,
3,100,4.056684,
3,150,4.049307,
3,200,4.054413,
3,250,4.039905,
3,300,4.051948,
3,350,4.055537,
3,400,4.052940,
3,450,4.061072,
3,500,4.048553,
3,550,4.052115,
3,600,4.039492,
3,650,4.043366,
3,700,4.051711,
3,750,4.037929,
3,800,4.050031,
3,850,4.050037,
3,900,4.037618,
3,950,4.023193,
3,1000,4.017752,
3,1050,4.012717,
3,1100,4.008546,
3,1150,3.999110,
3,1200,3.994360,
3,1250,3.995166,
3,1300,3.994265,
3,1350,3.986206,
